brand,name,slug,local_image_path,approved_image_url,image_storage_path
Initio,Midnight Trail 0114,initio-midnight-trail-0114,approved-images/initio-midnight-trail-0114.jpg,,initio/initio-midnight-trail-0114.jpg
Montale,Saffron Reserve 0116,montale-saffron-reserve-0116,approved-images/montale-saffron-reserve-0116.jpg,,montale/montale-saffron-reserve-0116.jpg
Nishane,Eclat Sillage 0117,nishane-eclat-sillage-0117,approved-images/nishane-eclat-sillage-0117.jpg,,nishane/nishane-eclat-sillage-0117.jpg
Memo Paris,Eclat Parfum 0118,memo-paris-eclat-parfum-0118,approved-images/memo-paris-eclat-parfum-0118.jpg,,memo-paris/memo-paris-eclat-parfum-0118.jpg
Frederic Malle,Noir Nectar 0119,frederic-malle-noir-nectar-0119,approved-images/frederic-malle-noir-nectar-0119.jpg,,frederic-malle/frederic-malle-noir-nectar-0119.jpg
Dior,Royal Essence 0121,dior-royal-essence-0121,approved-images/dior-royal-essence-0121.jpg,,dior/dior-royal-essence-0121.jpg
Chanel,Zenith Fusion 0122,chanel-zenith-fusion-0122,approved-images/chanel-zenith-fusion-0122.jpg,,chanel/chanel-zenith-fusion-0122.jpg
Xerjoff,Noir Fusion 0123,xerjoff-noir-fusion-0123,approved-images/xerjoff-noir-fusion-0123.jpg,,xerjoff/xerjoff-noir-fusion-0123.jpg
Lattafa,Royal Sillage 0124,lattafa-royal-sillage-0124,approved-images/lattafa-royal-sillage-0124.jpg,,lattafa/lattafa-royal-sillage-0124.jpg
Tom Ford,Intense Elixir 0126,tom-ford-intense-elixir-0126,approved-images/tom-ford-intense-elixir-0126.jpg,,tom-ford/tom-ford-intense-elixir-0126.jpg
Guerlain,Oud Trail 0127,guerlain-oud-trail-0127,approved-images/guerlain-oud-trail-0127.jpg,,guerlain/guerlain-oud-trail-0127.jpg
Maison Francis Kurkdjian,Mystic Trail 0128,maison-francis-kurkdjian-mystic-trail-0128,approved-images/maison-francis-kurkdjian-mystic-trail-0128.jpg,,maison-francis-kurkdjian/maison-francis-kurkdjian-mystic-trail-0128.jpg
