id,slug,brand,name,matched_url,longevity_score,longevity_source,sillage_score,sillage_source,versatility_score,versatility_source,neighbor_slugs
4865,amouage-guidance,Amouage,Guidance,,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,guerlain-linstant-de-guerlain-pour-homme-eau-de-parfum | xerjoff-homme-anniversary | maison-francis-kurkdjian-amyris-homme-extrait-de-parfum | nishane-nefs | parfums-de-marly-althair | prada-lhomme | giorgio-armani-acqua-di-gio-parfum
4864,amouage-reflection-man,Amouage,Reflection Man,https://www.parfumo.com/Perfumes/Amouage/Reflection_Man,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,dior-eau-sauvage-parfum-2017 | dior-dior-homme-parfum-2014 | xerjoff-homme-anniversary | maison-francis-kurkdjian-amyris-homme-extrait-de-parfum | xerjoff-kbridge-club | parfums-de-marly-althair | prada-lhomme
4834,bvlgari-man-in-black,Bvlgari,Man in Black,,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,maison-francis-kurkdjian-amyris-homme-extrait-de-parfum | prada-lhomme-intense | parfums-de-marly-althair | prada-lhomme | chanel-bleu-de-chanel-parfum | xerjoff-kbridge-club | maison-francis-kurkdjian-lumiere-noire-homme
4857,byredo-gypsy-water,Byredo,Gypsy Water,,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,liquides-imaginaires-liquide-2022 | yves-saint-laurent-tuxedo-eau-de-parfum | kinetic-perfumes-sillage | nishane-wulong-cha-extrait-de-parfum | nishane-nefs | maison-francis-kurkdjian-gentle-fluidity-silver | marc-antoine-barrois-ganymede-eau-de-parfum
4845,carolina-herrera-good-girl,Carolina Herrera,Good Girl,,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,guerlain-linstant-de-guerlain-pour-homme-eau-de-parfum | maison-francis-kurkdjian-amyris-homme-extrait-de-parfum | parfums-de-marly-althair | prada-lhomme | giorgio-armani-acqua-di-gio-parfum | xerjoff-kbridge-club | maison-francis-kurkdjian-lumiere-noire-homme
4823,chanel-allure-homme-sport,Chanel,Allure Homme Sport,,7,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,chanel-bleu-de-chanel-parfum | chanel-allure-homme-edition-blanche-eau-de-parfum | chanel-allure-homme-sport-eau-extreme | guerlain-linstant-de-guerlain-pour-homme-eau-de-toilette | guerlain-linstant-de-guerlain-pour-homme-eau-de-parfum | chanel-pour-monsieur-eau-de-toilette | chanel-egoiste-eau-de-toilette
4822,chanel-bleu-de-chanel-eau-de-parfum,Chanel,Bleu de Chanel Eau de Parfum,https://www.parfumo.com/Perfumes/Chanel/Bleu_de_Chanel_Eau_de_Parfum,7,seed-curated,7,seed-curated,9,seed-curated,chanel-allure-homme-edition-blanche-eau-de-parfum | chanel-allure-homme-sport-eau-extreme | chanel-pour-monsieur-eau-de-toilette | chanel-bleu-de-chanel-parfum | chanel-egoiste-eau-de-toilette | chanel-platinum-egoiste-eau-de-toilette | chanel-allure-homme-eau-de-toilette
4838,chanel-chance-eau-tendre,Chanel,Chance Eau Tendre,,7,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,chanel-bleu-de-chanel-parfum | chanel-allure-homme-edition-blanche-eau-de-parfum | chanel-allure-homme-sport-eau-extreme | guerlain-linstant-de-guerlain-pour-homme-eau-de-parfum | chanel-pour-monsieur-eau-de-toilette | chanel-egoiste-eau-de-toilette | chanel-platinum-egoiste-eau-de-toilette
4837,chanel-coco-mademoiselle,Chanel,Coco Mademoiselle,,8,seed-curated,7,seed-curated,9,seed-curated,chanel-allure-homme-edition-blanche-eau-de-parfum | chanel-allure-homme-sport-eau-extreme | chanel-bleu-de-chanel-parfum | chanel-pour-monsieur-eau-de-toilette | chanel-egoiste-eau-de-toilette | chanel-platinum-egoiste-eau-de-toilette | chanel-allure-homme-eau-de-toilette
4860,creed-aventus,Creed,Aventus,https://www.parfumo.com/Perfumes/Creed/aventus,8,catalog-neighbors,8,catalog-neighbors,7,catalog-neighbors,giorgio-armani-acqua-di-gio-parfum | giorgio-armani-acqua-di-gio-profumo-parfum | guerlain-linstant-de-guerlain-pour-homme-eau-de-parfum | dior-dior-homme-parfum-2014 | xerjoff-homme-anniversary | chanel-allure-homme-edition-blanche-eau-de-parfum | maison-francis-kurkdjian-amyris-homme-extrait-de-parfum
