brand,name,slug,gender,concentration,year,top_notes,heart_notes,base_notes,family,rating,longevity_score,sillage_score,versatility_score,imageUrl,image_source_url,image_storage_path,image_public_url,description_short,description_long,price_range,is_arabic,is_niche,catalog_status,source_name,source_type,official_source_url,source_confidence,data_quality
Petite Beaute,Spongebob Squarepants - Patrick,petite-beaute-spongebob-squarepants-patrick,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.8,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/petite-beaute/petite-beaute-spongebob-squarepants-patrick.jpg,https://media.parfumo.com/perfumes/bb/bbd411-spongebob-squarepants-patrick-petite-beaute_1200.jpg,petite-beaute/petite-beaute-spongebob-squarepants-patrick.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/petite-beaute/petite-beaute-spongebob-squarepants-patrick.jpg,"Spongebob Squarepants - Patrick by Petite Beaute, woody profile with Bergamot, Citrus, Floral.","Spongebob Squarepants - Patrick by Petite Beaute belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Petite_Beaute/Spongebob_Squarepants__Patrick,0.7,MEDIUM
Arabian Oud,Madawi 40 Years Gold Edition,arabian-oud-madawi-40-years-gold-edition,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.4,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/arabian-oud/arabian-oud-madawi-40-years-gold-edition.jpg,https://media.parfumo.com/perfumes/8d/8d0a85-madawi-40-years-gold-edition-arabian-oud_1200.jpg,arabian-oud/arabian-oud-madawi-40-years-gold-edition.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/arabian-oud/arabian-oud-madawi-40-years-gold-edition.jpg,"Madawi 40 Years Gold Edition by Arabian Oud, woody profile with Bergamot, Citrus, Floral.","Madawi 40 Years Gold Edition by Arabian Oud belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Arabian_Oud/madawi-40-years-gold-edition,0.7,MEDIUM
The Spirit of Dubai,Dubai - Rimal Eau de Parfum,the-spirit-of-dubai-dubai-rimal-eau-de-parfum,UNISEX,Eau de Parfum,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.4,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/the-spirit-of-dubai/the-spirit-of-dubai-dubai-rimal-eau-de-parfum.jpg,https://media.parfumo.com/perfumes/0a/0a7487-dubai-rimal-eau-de-parfum-the-spirit-of-dubai_1200.jpg,the-spirit-of-dubai/the-spirit-of-dubai-dubai-rimal-eau-de-parfum.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/the-spirit-of-dubai/the-spirit-of-dubai-dubai-rimal-eau-de-parfum.jpg,"Dubai - Rimal Eau de Parfum by The Spirit of Dubai, woody profile with Bergamot, Citrus, Floral.","Dubai - Rimal Eau de Parfum by The Spirit of Dubai belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/the-spirit-of-dubai/dubai-rimal-eau-de-parfum,0.7,MEDIUM
Al Wataniah,Kayaan Classic,al-wataniah-kayaan-classic,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.4,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/al-wataniah/al-wataniah-kayaan-classic.jpg,https://media.parfumo.com/perfumes/64/640f6b-kayaan-classic-al-wataniah_1200.jpg,al-wataniah/al-wataniah-kayaan-classic.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/al-wataniah/al-wataniah-kayaan-classic.jpg,"Kayaan Classic by Al Wataniah, woody profile with Bergamot, Citrus, Floral.","Kayaan Classic by Al Wataniah belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Al_Wataniah/kayaan-classic-1,0.7,MEDIUM
Cartier,Must de Cartier Parfum,cartier-must-de-cartier-parfum,WOMEN,Parfum,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.3,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/cartier/cartier-must-de-cartier-parfum.jpg,https://media.parfumo.com/perfumes/0a/0a071d-must-de-cartier-parfum-cartier_1200.jpg,cartier/cartier-must-de-cartier-parfum.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/cartier/cartier-must-de-cartier-parfum.jpg,"Must de Cartier Parfum by Cartier, woody profile with Bergamot, Citrus, Floral.","Must de Cartier Parfum by Cartier belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Cartier/Must_de_Cartier_Parfum,0.7,MEDIUM
Les Eaux Primordiales,Ambre Extrait de Parfum,les-eaux-primordiales-ambre-extrait-de-parfum,UNISEX,Extrait de Parfum,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.3,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/les-eaux-primordiales/les-eaux-primordiales-ambre-extrait-de-parfum.jpg,https://media.parfumo.com/perfumes/1c/1c830a-ambre-extrait-de-parfum-les-eaux-primordiales_1200.jpg,les-eaux-primordiales/les-eaux-primordiales-ambre-extrait-de-parfum.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/les-eaux-primordiales/les-eaux-primordiales-ambre-extrait-de-parfum.jpg,"Ambre Extrait de Parfum by Les Eaux Primordiales, woody profile with Bergamot, Citrus, Floral.","Ambre Extrait de Parfum by Les Eaux Primordiales belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Les_Eaux_Primordiales/ambre-extrait-de-parfum,0.7,MEDIUM
Nusuk,Ateeq,nusuk-ateeq,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.3,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/nusuk/nusuk-ateeq.jpg,https://media.parfumo.com/perfumes/ca/cae1c3_ateeq-nusuk_1200.jpg,nusuk/nusuk-ateeq.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/nusuk/nusuk-ateeq.jpg,"Ateeq by Nusuk, woody profile with Bergamot, Citrus, Floral.","Ateeq by Nusuk belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/nusuk/ateeq,0.7,MEDIUM
Rayhaan,Aquatica,rayhaan-aquatica,MEN,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.3,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/rayhaan/rayhaan-aquatica.jpg,https://media.parfumo.com/perfumes/4a/4a43cb_aquatica-rayhaan_1200.jpg,rayhaan/rayhaan-aquatica.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/rayhaan/rayhaan-aquatica.jpg,"Aquatica by Rayhaan, woody profile with Bergamot, Citrus, Floral.","Aquatica by Rayhaan belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/rayhaan/aquatica,0.7,MEDIUM
Shiseido,Féminité du Bois Eau de Parfum,shiseido-feminite-du-bois-eau-de-parfum,WOMEN,Eau de Parfum,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.3,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/shiseido/shiseido-feminite-du-bois-eau-de-parfum.jpg,https://media.parfumo.com/perfumes/7f/7ff212-feminite-du-bois-eau-de-parfum-shiseido_1200.jpg,shiseido/shiseido-feminite-du-bois-eau-de-parfum.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/shiseido/shiseido-feminite-du-bois-eau-de-parfum.jpg,"Féminité du Bois Eau de Parfum by Shiseido, woody profile with Bergamot, Citrus, Floral.","Féminité du Bois Eau de Parfum by Shiseido belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Shiseido/Feminite_du_Bois_Eau_de_Parfum,0.7,MEDIUM
Birkholz,Portraits of Portofino,birkholz-portraits-of-portofino,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.3,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/birkholz/birkholz-portraits-of-portofino.jpg,https://media.parfumo.com/perfumes/e0/e05118-portraits-of-portofino-birkholz_1200.jpg,birkholz/birkholz-portraits-of-portofino.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/birkholz/birkholz-portraits-of-portofino.jpg,"Portraits of Portofino by Birkholz, woody profile with Bergamot, Citrus, Floral.","Portraits of Portofino by Birkholz belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Birkholz/portraits-of-portofino,0.7,MEDIUM
