brand,name,parfumo_url,gender,rank,rating,votes,year,top_notes,heart_notes,base_notes,family,image_url,notes
Louis Vuitton,Imagination,https://www.parfumo.com/Perfumes/Louis_Vuitton/imagination,MEN,1,8.9,8342,,,,,,https://media.parfumo.com/perfumes/b5/b5a991-imagination-louis-vuitton_1200.jpg?width=240&aspect_ratio=1:1,
Parfums de Marly,Layton,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Layton,MEN,2,8.6,8387,,,,,,https://media.parfumo.com/perfumes/9c/9cbd68-layton-parfums-de-marly_1200.jpg?width=240&aspect_ratio=1:1,
Dior,Dior Homme Intense (2011),https://www.parfumo.com/Perfumes/Dior/Dior_Homme_Intense_2011,MEN,3,8.5,8197,,,,,,https://media.parfumo.com/perfumes/69/69da96-dior-homme-intense-2011-dior_1200.jpg?width=240&aspect_ratio=1:1,
Creed,Aventus,https://www.parfumo.com/Perfumes/Creed/aventus,MEN,4,8.4,8011,,,,,,https://media.parfumo.com/perfumes/ab/ab1e10-aventus-creed_1200.jpg?width=240&aspect_ratio=1:1,
Amouage,Reflection Man,https://www.parfumo.com/Perfumes/Amouage/Reflection_Man,MEN,5,8.6,5994,,,,,,https://media.parfumo.com/perfumes/95/952882-reflection-man-amouage_1200.jpg?width=240&aspect_ratio=1:1,
Prada,L'Homme,https://www.parfumo.com/Perfumes/Prada/L_Homme,MEN,6,8.4,7222,,,,,,https://media.parfumo.com/perfumes/47/4703b1-l-homme-prada_1200.jpg?width=240&aspect_ratio=1:1,
Viktor & Rolf,Spicebomb Extreme,https://www.parfumo.com/Perfumes/Viktor_Rolf/Spicebomb_Extreme,MEN,7,8.4,6206,,,,,,https://media.parfumo.com/perfumes/93/93236f-spicebomb-extreme-viktor-rolf_1200.jpg?width=240&aspect_ratio=1:1,
Jean Paul Gaultier,Le Mâle Le Parfum,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-male-le-parfum,MEN,8,8.4,5045,,,,,,https://media.parfumo.com/perfumes/e6/e6a2db_le-male-le-parfum-jean-paul-gaultier_1200.jpg?width=240&aspect_ratio=1:1,
Yves Saint Laurent,La Nuit de L'Homme Eau de Toilette,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/La_Nuit_de_L_Homme_Eau_de_Toilette,MEN,9,8.4,4989,,,,,,https://media.parfumo.com/perfumes/12/1287ba-la-nuit-de-l-homme-eau-de-toilette-yves-saint-laurent_1200.jpg?width=240&aspect_ratio=1:1,
Parfums de Marly,Althaïr,https://www.parfumo.com/Perfumes/Parfums_de_Marly/althair,MEN,10,8.4,4702,,,,,,https://media.parfumo.com/perfumes/3c/3cf8c5-althair-parfums-de-marly_1200.jpg?width=240&aspect_ratio=1:1,
Dolce & Gabbana,The One for Men (2015) Eau de Parfum,https://www.parfumo.com/Perfumes/Dolce_Gabbana/the-one-for-men-eau-de-parfum-2015,MEN,11,8.4,4321,,,,,,https://media.parfumo.com/perfumes/4c/4c4732-the-one-for-men-eau-de-parfum-dolce-gabbana_1200.jpg?width=240&aspect_ratio=1:1,
Tom Ford,Noir Extreme Eau de Parfum,https://www.parfumo.com/Perfumes/Tom_Ford/noir-extreme-eau-de-parfum,MEN,12,8.4,4172,,,,,,https://media.parfumo.com/perfumes/8f/8ff00e-noir-extreme-eau-de-parfum-tom-ford_1200.jpg?width=240&aspect_ratio=1:1,
