brand,name,parfumo_url,gender,rank,rating,votes,year,top_notes,heart_notes,base_notes,family,image_url,notes
Xerjoff,Naxos,https://www.parfumo.com/Perfumes/Xerjoff/naxos,UNISEX,1,8.9,12506,,,,,,https://media.parfumo.com/perfumes/87/87c77f_naxos-xerjoff_1200.jpg?width=240&aspect_ratio=1:1,
Xerjoff,Alexandria II Parfum,https://www.parfumo.com/Perfumes/Xerjoff/alexandria-ii-parfum,UNISEX,2,8.6,6511,,,,,,https://media.parfumo.com/perfumes/be/be4590-alexandria-ii-parfum-xerjoff_1200.jpg?width=240&aspect_ratio=1:1,
Maison Francis Kurkdjian,Grand Soir Eau de Parfum,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/grand-soir-eau-de-parfum,UNISEX,3,8.5,6444,,,,,,https://media.parfumo.com/perfumes/9a/9a8cb2-grand-soir-maison-francis-kurkdjian_1200.jpg?width=240&aspect_ratio=1:1,
Tom Ford,Oud Wood Eau de Parfum,https://www.parfumo.com/Perfumes/Tom_Ford/Oud_Wood_Eau_de_Parfum,UNISEX,4,8.4,6397,,,,,,https://media.parfumo.com/perfumes/cf/cf90e7-oud-wood-eau-de-parfum-tom-ford_1200.jpg?width=240&aspect_ratio=1:1,
Kilian,Angels' Share Eau de Parfum,https://www.parfumo.com/Perfumes/Kilian/angels-share-eau-de-parfum,UNISEX,5,8.7,5160,,,,,,https://media.parfumo.com/perfumes/98/98e964-angels-share-kilian_1200.jpg?width=240&aspect_ratio=1:1,
Widian,London Extrait de Parfum,https://www.parfumo.com/Perfumes/Widian/london-extrait-de-parfum,UNISEX,6,9.0,3713,,,,,,https://media.parfumo.com/perfumes/0b/0b5616-london-extrait-de-parfum-widian-aj-arabia_1200.jpg?width=240&aspect_ratio=1:1,
Parfums de Marly,Herod,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Royal_Essence_Herod,UNISEX,7,8.5,5368,,,,,,https://media.parfumo.com/perfumes/68/68fe96-herod-parfums-de-marly_1200.jpg?width=240&aspect_ratio=1:1,
Xerjoff,Torino21,https://www.parfumo.com/Perfumes/Xerjoff/torino21,UNISEX,8,8.6,5258,,,,,,https://media.parfumo.com/perfumes/75/75f8f1_torino21-xerjoff_1200.jpg?width=240&aspect_ratio=1:1,
Xerjoff,40 Knots,https://www.parfumo.com/Perfumes/Xerjoff/40-knots,UNISEX,9,8.5,5647,,,,,,https://media.parfumo.com/perfumes/32/32fcfa-40-knots-xerjoff_1200.jpg?width=240&aspect_ratio=1:1,
Initio,Side Effect,https://www.parfumo.com/Perfumes/Initio/Side_Effect,UNISEX,10,8.5,4378,,,,,,https://media.parfumo.com/perfumes/5a/5a8309-side-effect-initio_1200.jpg?width=240&aspect_ratio=1:1,
