brand,name,parfumo_url,gender,rank,rating,votes,year,top_notes,heart_notes,base_notes,family,image_url,notes
Dior,Hypnotic Poison Eau de Toilette,https://www.parfumo.com/Perfumes/Dior/Hypnotic_Poison,WOMEN,1,8.0,2432,,,,,,https://media.parfumo.com/perfumes/b7/b78b42-hypnotic-poison-eau-de-toilette-dior_1200.jpg?width=240&aspect_ratio=1:1,
Guerlain,Mon Guerlain Eau de Parfum,https://www.parfumo.com/Perfumes/Guerlain/Mon_Guerlain,WOMEN,2,8.2,2077,,,,,,https://media.parfumo.com/perfumes/66/668ca1-mon-guerlain-eau-de-parfum-guerlain_1200.jpg?width=240&aspect_ratio=1:1,
Parfums de Marly,Delina Eau de Parfum,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Delina,WOMEN,3,8.0,2313,,,,,,https://media.parfumo.com/perfumes/15/15d893-delina-eau-de-parfum-parfums-de-marly_1200.jpg?width=240&aspect_ratio=1:1,
Parfums de Marly,Delina Exclusif,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Delina_Exclusif,WOMEN,4,8.3,1557,,,,,,https://media.parfumo.com/perfumes/25/259ce9-delina-exclusif-parfums-de-marly_1200.jpg?width=240&aspect_ratio=1:1,
Editions de Parfums Frédéric Malle,Portrait of a Lady Eau de Parfum,https://www.parfumo.com/Perfumes/Editions_de_Parfum_Frederic_Malle/portrait-of-a-lady-eau-de-parfum,WOMEN,5,8.1,1759,,,,,,https://media.parfumo.com/perfumes/d5/d5e72a-portrait-of-a-lady-eau-de-parfum-editions-de-parfums-frederic-malle_1200.jpg?width=240&aspect_ratio=1:1,
Givenchy,L'Interdit Eau de Parfum Rouge,https://www.parfumo.com/Perfumes/Givenchy/l-interdit-eau-de-parfum-rouge,WOMEN,6,8.3,1357,,,,,,https://media.parfumo.com/perfumes/96/967597-l-interdit-eau-de-parfum-rouge-givenchy_1200.jpg?width=240&aspect_ratio=1:1,
Kayali,Vanilla | 28 Eau de Parfum,https://www.parfumo.com/Perfumes/Kayali/vanilla-28-eau-de-parfum,WOMEN,7,8.1,1605,,,,,,https://media.parfumo.com/perfumes/2e/2ed97a-vanilla-28-eau-de-parfum-kayali_1200.jpg?width=240&aspect_ratio=1:1,
Gritti,Duchessa,https://www.parfumo.com/Perfumes/Gritti/duchessa,WOMEN,8,8.5,1123,,,,,,https://media.parfumo.com/perfumes/a8/a8c988-duchessa-gritti_1200.jpg?width=240&aspect_ratio=1:1,
Narciso Rodriguez,For Her Pure Musc Eau de Parfum,https://www.parfumo.com/Perfumes/Narciso_Rodriguez/for-her-pure-musc-eau-de-parfum,WOMEN,9,7.9,1751,,,,,,https://media.parfumo.com/perfumes/9b/9b3232-for-her-pure-musc-eau-de-parfum-narciso-rodriguez_1200.jpg?width=240&aspect_ratio=1:1,
Chanel,Coco Mademoiselle Eau de Parfum,https://www.parfumo.com/Perfumes/Chanel/Coco_Mademoiselle,WOMEN,10,7.8,1971,,,,,,https://media.parfumo.com/perfumes/a2/a24a8c-coco-mademoiselle-eau-de-parfum-chanel_1200.jpg?width=240&aspect_ratio=1:1,
