brand,name,slug,local_image_path,approved_image_url,image_storage_path
Dior,Sauvage Elixir,dior-sauvage-elixir,approved-images/dior-sauvage-elixir.jpg,,dior/dior-sauvage-elixir.jpg
Dior,Fahrenheit,dior-fahrenheit,approved-images/dior-fahrenheit.jpg,,dior/dior-fahrenheit.jpg
Chanel,Bleu de Chanel Eau de Parfum,chanel-bleu-de-chanel-eau-de-parfum,approved-images/chanel-bleu-de-chanel-eau-de-parfum.jpg,,chanel/chanel-bleu-de-chanel-eau-de-parfum.jpg
Chanel,Allure Homme Sport,chanel-allure-homme-sport,approved-images/chanel-allure-homme-sport.jpg,,chanel/chanel-allure-homme-sport.jpg
Yves Saint Laurent,La Nuit de L Homme,yves-saint-laurent-la-nuit-de-l-homme,approved-images/yves-saint-laurent-la-nuit-de-l-homme.jpg,,yves-saint-laurent/yves-saint-laurent-la-nuit-de-l-homme.jpg
Giorgio Armani,Acqua di Gio Profumo,giorgio-armani-acqua-di-gio-profumo,approved-images/giorgio-armani-acqua-di-gio-profumo.jpg,,giorgio-armani/giorgio-armani-acqua-di-gio-profumo.jpg
Giorgio Armani,Armani Code Parfum,giorgio-armani-armani-code-parfum,approved-images/giorgio-armani-armani-code-parfum.jpg,,giorgio-armani/giorgio-armani-armani-code-parfum.jpg
Prada,Luna Rossa Carbon,prada-luna-rossa-carbon,approved-images/prada-luna-rossa-carbon.jpg,,prada/prada-luna-rossa-carbon.jpg
Hermes,Terre d Hermes,hermes-terre-d-hermes,approved-images/hermes-terre-d-hermes.jpg,,hermes/hermes-terre-d-hermes.jpg
Versace,Dylan Blue,versace-dylan-blue,approved-images/versace-dylan-blue.jpg,,versace/versace-dylan-blue.jpg
Paco Rabanne,1 Million,paco-rabanne-1-million,approved-images/paco-rabanne-1-million.jpg,,paco-rabanne/paco-rabanne-1-million.jpg
Jean Paul Gaultier,Le Male Le Parfum,jean-paul-gaultier-le-male-le-parfum,approved-images/jean-paul-gaultier-le-male-le-parfum.jpg,,jean-paul-gaultier/jean-paul-gaultier-le-male-le-parfum.jpg
Givenchy,Gentleman Reserve Privee,givenchy-gentleman-reserve-privee,approved-images/givenchy-gentleman-reserve-privee.jpg,,givenchy/givenchy-gentleman-reserve-privee.jpg
Tom Ford,Noir Extreme,tom-ford-noir-extreme,approved-images/tom-ford-noir-extreme.jpg,,tom-ford/tom-ford-noir-extreme.jpg
Bvlgari,Man in Black,bvlgari-man-in-black,approved-images/bvlgari-man-in-black.jpg,,bvlgari/bvlgari-man-in-black.jpg
Dolce and Gabbana,The One for Men Eau de Parfum,dolce-and-gabbana-the-one-for-men-eau-de-parfum,approved-images/dolce-and-gabbana-the-one-for-men-eau-de-parfum.jpg,,dolce-and-gabbana/dolce-and-gabbana-the-one-for-men-eau-de-parfum.jpg
Viktor and Rolf,Spicebomb Extreme,viktor-and-rolf-spicebomb-extreme,approved-images/viktor-and-rolf-spicebomb-extreme.jpg,,viktor-and-rolf/viktor-and-rolf-spicebomb-extreme.jpg
Chanel,Coco Mademoiselle,chanel-coco-mademoiselle,approved-images/chanel-coco-mademoiselle.jpg,,chanel/chanel-coco-mademoiselle.jpg
Chanel,Chance Eau Tendre,chanel-chance-eau-tendre,approved-images/chanel-chance-eau-tendre.jpg,,chanel/chanel-chance-eau-tendre.jpg
Dior,Jadore Eau de Parfum,dior-jadore-eau-de-parfum,approved-images/dior-jadore-eau-de-parfum.jpg,,dior/dior-jadore-eau-de-parfum.jpg
Dior,Miss Dior Eau de Parfum,dior-miss-dior-eau-de-parfum,approved-images/dior-miss-dior-eau-de-parfum.jpg,,dior/dior-miss-dior-eau-de-parfum.jpg
Yves Saint Laurent,Libre Eau de Parfum,yves-saint-laurent-libre-eau-de-parfum,approved-images/yves-saint-laurent-libre-eau-de-parfum.jpg,,yves-saint-laurent/yves-saint-laurent-libre-eau-de-parfum.jpg
Giorgio Armani,Si Eau de Parfum,giorgio-armani-si-eau-de-parfum,approved-images/giorgio-armani-si-eau-de-parfum.jpg,,giorgio-armani/giorgio-armani-si-eau-de-parfum.jpg
Prada,Paradoxe,prada-paradoxe,approved-images/prada-paradoxe.jpg,,prada/prada-paradoxe.jpg
Lancome,La Vie Est Belle,lancome-la-vie-est-belle,approved-images/lancome-la-vie-est-belle.jpg,,lancome/lancome-la-vie-est-belle.jpg
Carolina Herrera,Good Girl,carolina-herrera-good-girl,approved-images/carolina-herrera-good-girl.jpg,,carolina-herrera/carolina-herrera-good-girl.jpg
Viktor and Rolf,Flowerbomb,viktor-and-rolf-flowerbomb,approved-images/viktor-and-rolf-flowerbomb.jpg,,viktor-and-rolf/viktor-and-rolf-flowerbomb.jpg
Narciso Rodriguez,For Her Eau de Parfum,narciso-rodriguez-for-her-eau-de-parfum,approved-images/narciso-rodriguez-for-her-eau-de-parfum.jpg,,narciso-rodriguez/narciso-rodriguez-for-her-eau-de-parfum.jpg
Mugler,Alien,mugler-alien,approved-images/mugler-alien.jpg,,mugler/mugler-alien.jpg
