row_index,brand,name,slug,issue_type,candidate_matches,recommended_next_action,notes
3,Dior,Fahrenheit,dior-fahrenheit,low_confidence,Parfumo Top Lists:Fahrenheit Eau de Toilette:https://www.parfumo.com/Perfumes/Dior/Fahrenheit_Eau_de_Toilette:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
5,Chanel,Allure Homme Sport,chanel-allure-homme-sport,low_confidence,Parfumo Top Lists:Allure Homme Sport Eau de Toilette:https://www.parfumo.com/Perfumes/Chanel/Allure_Homme_Sport_Eau_de_Toilette:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
6,Yves Saint Laurent,La Nuit de L Homme,yves-saint-laurent-la-nuit-de-l-homme,unmatched,,Find a trusted source manually or add a new adapter that can search this perfume safely.,No trusted adapter returned a usable source candidate for this perfume.
7,Giorgio Armani,Acqua di Gio Profumo,giorgio-armani-acqua-di-gio-profumo,unmatched,,Find a trusted source manually or add a new adapter that can search this perfume safely.,No trusted adapter returned a usable source candidate for this perfume.
9,Prada,Luna Rossa Carbon,prada-luna-rossa-carbon,low_confidence,Parfumo Top Lists:Luna Rossa Carbon Eau de Toilette:https://www.parfumo.com/Perfumes/Prada/luna-rossa-carbon-eau-de-toilette:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
10,Hermes,Terre d Hermes,hermes-terre-d-hermes,unmatched,,Find a trusted source manually or add a new adapter that can search this perfume safely.,No trusted adapter returned a usable source candidate for this perfume.
11,Versace,Dylan Blue,versace-dylan-blue,unmatched,,Find a trusted source manually or add a new adapter that can search this perfume safely.,No trusted adapter returned a usable source candidate for this perfume.
12,Paco Rabanne,1 Million,paco-rabanne-1-million,unmatched,,Find a trusted source manually or add a new adapter that can search this perfume safely.,No trusted adapter returned a usable source candidate for this perfume.
14,Givenchy,Gentleman Reserve Privee,givenchy-gentleman-reserve-privee,unmatched,,Find a trusted source manually or add a new adapter that can search this perfume safely.,No trusted adapter returned a usable source candidate for this perfume.
15,Tom Ford,Noir Extreme,tom-ford-noir-extreme,low_confidence,Parfumo Top Lists:Noir Extreme Eau de Parfum:https://www.parfumo.com/Perfumes/Tom_Ford/noir-extreme-eau-de-parfum:0.84,Review the suggested candidate and approve or reject the match before any catalog fields are applied.,Variant-only match after concentration-stripping fallback; manual review required.
