brand,name,gender,year,top_notes,heart_notes,base_notes,family,rating,imageUrl,image_source_url,image_storage_path,image_public_url,description_short,description_long,price_range,is_arabic,is_niche,catalog_status,source_name,source_type,official_source_url,source_confidence,data_quality,slug
Orto Parisi,Megamare,UNISEX,2019,Aquatic;Fresh,Spicy;Synthetic,Woody,Aquatic Woody,3.7,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-megamare.jpg,https://media.parfumo.com/perfumes/0f/0ff2f2-megamare-orto-parisi_1200.jpg,orto-parisi/orto-parisi-megamare.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-megamare.jpg,,,LUXURY,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Orto_Parisi/Megamare,0.75,MEDIUM,orto-parisi-megamare
Orto Parisi,Bergamask,UNISEX,2014,Citrus;Fresh,Woody;Spicy,Animal,Citrus Woody Musk,3.9,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-bergamask.jpg,https://media.parfumo.com/perfumes/25/253ace-bergamask-orto-parisi_1200.jpg,orto-parisi/orto-parisi-bergamask.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-bergamask.jpg,,,LUXURY,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Orto_Parisi/Bergamask,0.75,MEDIUM,orto-parisi-bergamask
Orto Parisi,Terroni,UNISEX,2017,Smoky;Spicy,Woody;Earthy,Resinous,Woody Smoky Earthy,4.0,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-terroni.jpg,https://media.parfumo.com/perfumes/cc/ccfee9-terroni-orto-parisi_1200.jpg,orto-parisi/orto-parisi-terroni.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-terroni.jpg,,,LUXURY,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Orto_Parisi/Terroni,0.75,MEDIUM,orto-parisi-terroni
Orto Parisi,Viride,UNISEX,2014,Green;Spicy,Woody;Earthy,Resinous,Woody Green Earthy,3.9,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-viride.jpg,https://media.parfumo.com/perfumes/e0/e0796a-viride-orto-parisi_1200.jpg,orto-parisi/orto-parisi-viride.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-viride.jpg,,,LUXURY,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Orto_Parisi/Viride,0.75,MEDIUM,orto-parisi-viride
Orto Parisi,Cuoium,UNISEX,2021,Leathery;Smoky,Woody;Spicy,Animal,Leather Woody Smoky,3.8,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-cuoium.jpg,https://media.parfumo.com/perfumes/bc/bc82eb-cuoium-orto-parisi_1200.jpg,orto-parisi/orto-parisi-cuoium.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-cuoium.jpg,,,LUXURY,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Orto_Parisi/cuoium,0.75,MEDIUM,orto-parisi-cuoium
Orto Parisi,Stercus,UNISEX,2014,Spicy;Animal,Woody;Resinous,Earthy,Woody Animalic Resinous,3.9,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-stercus.jpg,https://media.parfumo.com/perfumes/f8/f855c8-stercus-orto-parisi_1200.jpg,orto-parisi/orto-parisi-stercus.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-stercus.jpg,,,LUXURY,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Orto_Parisi/Stercus,0.75,MEDIUM,orto-parisi-stercus
Orto Parisi,Boccanera,UNISEX,2014,Smoky;Spicy,Woody;Resinous,Gourmand,Woody Smoky Gourmand,3.9,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-boccanera.jpg,https://media.parfumo.com/perfumes/e4/e41517-boccanera-orto-parisi_1200.jpg,orto-parisi/orto-parisi-boccanera.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-boccanera.jpg,,,LUXURY,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Orto_Parisi/Boccanera,0.75,MEDIUM,orto-parisi-boccanera
Orto Parisi,Seminalis,UNISEX,2016,Creamy;Sweet,Woody;Spicy,Animal,Woody Sweet Musk,3.7,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-seminalis.jpg,https://media.parfumo.com/perfumes/38/381f96-seminalis-orto-parisi_1200.jpg,orto-parisi/orto-parisi-seminalis.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-seminalis.jpg,,,LUXURY,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Orto_Parisi/Seminalis,0.75,MEDIUM,orto-parisi-seminalis
Orto Parisi,Brutus,UNISEX,2014,Spicy;Earthy,Woody;Resinous,Smoky,Woody Earthy Smoky,4.0,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-brutus.jpg,https://media.parfumo.com/perfumes/ba/ba889c-brutus-orto-parisi_1200.jpg,orto-parisi/orto-parisi-brutus.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-brutus.jpg,,,LUXURY,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Orto_Parisi/Brutus,0.75,MEDIUM,orto-parisi-brutus
Orto Parisi,Risvelium,UNISEX,2025,Citrus;Green,Earthy;Smoky,Woody,Woody Green Smoky,3.5,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-risvelium.jpg,https://media.parfumo.com/perfumes/22/220dfc_risvelium-orto-parisi_1200.jpg,orto-parisi/orto-parisi-risvelium.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/orto-parisi/orto-parisi-risvelium.jpg,,,LUXURY,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Orto_Parisi/risvelium,0.75,MEDIUM,orto-parisi-risvelium
